Client_Num,Card_Category,Annual_Fees,Activation_30_Days,Customer_Acq_Cost,Week_Start_Date,Week_Num,Qtr,current_year,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Vol,Avg_Utilization_Ratio,Use Chip,Exp Type,Interest_Earned,Delinquent_Acc,Customer_Age,Gender,Dependent_Count,Education_Level,Marital_Status,state_cd,Car_Owner,House_Owner,Personal_loan,Customer_Job,Income,Cust_Satisfaction_Score,Month
708121908,Blue,405,0,71,2023-01-01,Week-1,Q1,2023,22917.0,0,2045,45,0.0,swipe,Grocery,265.85,0,49,Female,1,Graduate,Married,Texas,no,no,no,Selfemployeed,20632,3,January
708123033,Silver,355,0,78,2023-01-01,Week-1,Q1,2023,11463.0,0,14511,105,0.0,swipe,Fuel,3047.31,0,47,Female,5,Graduate,Married,Florida,no,no,no,Businessman,172101,2,January
708125733,Blue,220,0,69,2023-01-01,Week-1,Q1,2023,1438.3,0,4311,77,0.0,swipe,Entertainment,1207.08,0,43,Female,4,Graduate,Single,Florida,no,no,no,Retirees,57168,2,January
708128733,Blue,125,1,105,2023-01-01,Week-1,Q1,2023,1814.0,0,5014,99,0.0,swipe,Entertainment,1303.64,0,47,Male,3,Graduate,Married,New York,no,no,no,Govt,89954,2,January
708129933,Blue,350,1,77,2023-01-01,Week-1,Q1,2023,2072.0,1544,4210,64,0.745,chip,Entertainment,884.1,0,34,Female,3,Uneducated,Single,Texas,yes,yes,yes,Blue-Collar,53762,1,January
708132783,Blue,250,1,92,2023-01-01,Week-1,Q1,2023,16411.0,1179,3929,71,0.072,swipe,Food,785.8,1,37,Female,5,Unknown,Married,New Jersey,yes,yes,no,Selfemployeed,45476,3,January
708134283,Blue,125,1,101,2023-01-01,Week-1,Q1,2023,3131.0,629,1483,31,0.201,swipe,Food,311.43,0,63,Male,0,Graduate,Single,Texas,yes,yes,yes,Selfemployeed,14975,2,January
708136908,Blue,110,1,73,2023-01-01,Week-1,Q1,2023,2616.0,801,4655,68,0.306,swipe,Entertainment,605.15,0,55,Male,2,Doctorate,Married,Missouri,yes,yes,no,Retirees,72878,2,January
708139833,Blue,460,0,111,2023-01-01,Week-1,Q1,2023,6391.0,0,2323,44,0.0,swipe,Grocery,441.37,0,38,Female,1,Unknown,Single,New York,no,no,no,Businessman,25667,3,January
708145908,Blue,320,0,78,2023-01-01,Week-1,Q1,2023,4906.0,2185,3999,71,0.445,swipe,Bills,959.76,0,40,Male,3,Graduate,Single,Massachusetts,no,yes,no,Blue-Collar,47224,1,January
708147108,Blue,320,0,112,2023-01-01,Week-1,Q1,2023,21084.0,2517,2309,71,0.119,swipe,Travel,277.08,0,55,Female,0,Graduate,Single,New York,yes,no,no,White-Collar,25341,2,January
708148158,Blue,175,0,73,2023-01-01,Week-1,Q1,2023,1827.0,0,4207,86,0.0,swipe,Fuel,925.54,0,33,Male,2,Doctorate,Single,New York,no,yes,yes,Blue-Collar,53644,3,January
708151008,Blue,440,1,86,2023-01-01,Week-1,Q1,2023,6250.0,644,2433,41,0.103,swipe,Fuel,486.6,0,54,Female,1,Uneducated,Married,California,no,yes,no,Govt,27423,2,January
708152358,Blue,335,1,101,2023-01-01,Week-1,Q1,2023,18512.0,1664,8019,57,0.09,swipe,Food,721.71,0,46,Male,3,Graduate,Married,New York,yes,yes,no,Blue-Collar,110014,2,January
708153558,Blue,375,0,150,2023-01-01,Week-1,Q1,2023,34516.0,1802,7936,101,0.052,swipe,Fuel,634.88,0,44,Male,4,Graduate,Unknown,Iowa,no,no,no,Businessman,109186,3,January
708154833,Blue,250,0,82,2023-01-01,Week-1,Q1,2023,1438.3,811,2336,46,0.564,chip,Fuel,630.72,0,40,Female,3,Graduate,Married,New Jersey,yes,yes,no,Govt,25835,2,January
708155733,Blue,335,0,88,2023-01-01,Week-1,Q1,2023,14734.0,1634,1289,23,0.111,swipe,Bills,296.47,0,44,Female,3,Graduate,Married,California,yes,yes,no,Selfemployeed,11345,2,January
708158133,Blue,110,1,131,2023-01-01,Week-1,Q1,2023,3031.0,2517,2188,50,0.83,swipe,Bills,350.08,1,51,Female,2,Uneducated,Single,New York,yes,no,no,Selfemployeed,23215,2,January
708160008,Blue,375,1,96,2023-01-01,Week-1,Q1,2023,34516.0,1058,7412,84,0.031,swipe,Bills,1927.12,0,60,Male,0,Graduate,Single,California,no,no,no,Businessman,103581,3,January
708161133,Blue,150,1,99,2023-01-01,Week-1,Q1,2023,6629.0,1389,3891,69,0.21,swipe,Fuel,466.92,0,49,Female,2,Unknown,Single,Texas,yes,yes,no,Selfemployeed,44555,3,January
708162558,Blue,420,0,88,2023-01-01,Week-1,Q1,2023,3250.0,1992,1355,36,0.613,swipe,Entertainment,189.7,1,43,Female,5,Graduate,Married,Texas,no,yes,no,Selfemployeed,12381,2,January
708163758,Platinum,470,0,158,2023-01-01,Week-1,Q1,2023,34516.0,638,13085,139,0.018,swipe,Bills,2355.3,0,54,Male,1,Graduate,Single,New York,no,yes,no,White-Collar,123809,1,January
708170508,Blue,250,0,72,2023-01-01,Week-1,Q1,2023,1438.3,0,1651,42,0.0,swipe,Entertainment,462.28,0,32,Female,0,Graduate,Married,Florida,yes,no,no,Selfemployeed,14975,1,January
708171858,Blue,100,1,104,2023-01-01,Week-1,Q1,2023,1864.0,1081,2607,44,0.58,swipe,Fuel,312.84,0,52,Female,3,Graduate,Married,New York,no,yes,no,Businessman,30586,1,January
708173433,Blue,285,0,40,2023-01-01,Week-1,Q1,2023,5645.0,2324,2482,57,0.412,swipe,Food,496.4,0,43,Female,1,Graduate,Single,California,no,no,no,Retirees,28367,3,January
708174708,Blue,175,1,69,2023-01-01,Week-1,Q1,2023,5535.0,1276,1764,38,0.231,swipe,Fuel,194.04,0,49,Female,0,Graduate,Single,New York,yes,no,no,White-Collar,15355,1,January
708176208,Blue,465,1,89,2023-01-01,Week-1,Q1,2023,7268.0,0,4199,80,0.0,swipe,Food,587.86,0,49,Female,1,Uneducated,Married,California,no,no,no,Govt,53428,2,January
708177333,Silver,460,1,107,2023-01-01,Week-1,Q1,2023,11261.0,2485,1158,26,0.221,swipe,Bills,243.18,0,42,Female,3,Graduate,Single,California,yes,yes,no,Selfemployeed,7865,2,January
708178608,Blue,300,0,111,2023-01-01,Week-1,Q1,2023,2488.0,0,4226,73,0.0,chip,Grocery,253.56,0,48,Female,3,Unknown,Unknown,Florida,no,no,no,Blue-Collar,54304,1,January
708185208,Blue,110,1,74,2023-01-01,Week-1,Q1,2023,3178.0,1118,2010,31,0.352,swipe,Bills,180.9,0,47,Female,2,Doctorate,Single,California,no,yes,no,Selfemployeed,20100,2,January
708186933,Blue,195,1,102,2023-01-01,Week-1,Q1,2023,1819.0,725,2254,45,0.399,swipe,Bills,270.48,0,47,Female,4,Unknown,Unknown,California,no,yes,no,Blue-Collar,24295,1,January
708190158,Blue,175,0,113,2023-01-01,Week-1,Q1,2023,2920.0,2426,2750,41,0.831,swipe,Food,632.5,0,47,Female,3,Unknown,Single,New York,no,yes,no,Govt,32103,3,January
708193008,Blue,340,0,148,2023-01-01,Week-1,Q1,2023,14480.0,0,1616,43,0.0,online,Entertainment,387.84,0,53,Female,2,Graduate,Married,California,no,no,yes,Selfemployeed,14975,2,January
708195633,Silver,110,1,70,2023-01-01,Week-1,Q1,2023,34516.0,1182,2440,54,0.034,online,Entertainment,488.0,0,47,Female,4,High School,Married,Texas,yes,yes,no,Selfemployeed,27517,3,January
708197358,Blue,225,0,111,2023-01-01,Week-1,Q1,2023,30543.0,264,7784,63,0.009,online,Food,622.72,1,42,Male,1,Uneducated,Married,Alaska,no,no,yes,Govt,107887,1,January
708204033,Blue,295,0,86,2023-01-01,Week-1,Q1,2023,2980.0,2093,4132,70,0.702,chip,Travel,826.4,1,53,Male,2,Graduate,Married,California,yes,no,yes,Selfemployeed,51233,1,January
708205083,Blue,125,1,151,2023-01-01,Week-1,Q1,2023,1438.3,0,4815,81,0.0,chip,Travel,337.05,1,54,Male,2,Graduate,Married,New Jersey,no,no,no,Blue-Collar,79516,1,January
708207783,Blue,355,1,107,2023-01-01,Week-1,Q1,2023,1477.0,0,4680,80,0.0,swipe,Entertainment,514.8,1,48,Male,1,Graduate,Married,New York,no,yes,no,Blue-Collar,73959,1,January
708208758,Blue,275,1,85,2023-01-01,Week-1,Q1,2023,1826.0,883,2199,48,0.484,swipe,Fuel,571.74,1,42,Female,3,Doctorate,Single,Florida,yes,yes,no,Blue-Collar,23377,2,January
708211383,Blue,200,0,111,2023-01-01,Week-1,Q1,2023,2664.0,0,3906,74,0.0,online,Fuel,1054.62,1,44,Female,3,Uneducated,Single,Texas,no,yes,no,Retirees,44883,3,January
708212658,Blue,190,1,70,2023-01-01,Week-1,Q1,2023,2193.0,1260,1799,47,0.575,swipe,Bills,521.71,1,40,Female,3,High School,Single,Texas,no,no,yes,Retirees,16041,2,January
708216108,Blue,300,1,93,2023-01-01,Week-1,Q1,2023,4088.0,1557,2250,39,0.381,swipe,Bills,157.5,1,58,Female,1,Unknown,Married,New York,no,yes,no,Businessman,24221,3,January
708217758,Blue,475,0,96,2023-01-01,Week-1,Q1,2023,14035.0,2061,1606,30,0.147,swipe,Bills,385.44,1,57,Female,1,Graduate,Single,California,no,yes,no,Selfemployeed,14975,3,January
708219108,Blue,300,1,95,2023-01-01,Week-1,Q1,2023,9959.0,1143,7300,77,0.115,swipe,Grocery,803.0,1,38,Male,2,Graduate,Married,California,yes,no,no,Blue-Collar,102561,3,January
708219858,Blue,390,1,79,2023-01-01,Week-1,Q1,2023,6423.0,0,4295,70,0.0,swipe,Food,901.95,0,53,Female,1,Graduate,Unknown,California,no,yes,no,White-Collar,56697,2,January
708222558,Blue,125,1,109,2023-01-01,Week-1,Q1,2023,2310.0,1513,4191,77,0.655,chip,Food,712.47,0,60,Female,1,Uneducated,Single,New Jersey,no,no,no,Retirees,53022,3,January
708223383,Blue,295,0,81,2023-01-01,Week-1,Q1,2023,11410.0,979,2736,38,0.086,chip,Bills,793.44,0,51,Female,3,Uneducated,Married,New York,yes,no,yes,Businessman,32013,1,January
708224133,Blue,430,1,105,2023-01-01,Week-1,Q1,2023,2228.0,1480,4431,71,0.664,swipe,Grocery,841.89,0,39,Male,4,Graduate,Single,New Jersey,yes,no,no,Selfemployeed,62192,2,January
708225483,Blue,200,1,68,2023-01-01,Week-1,Q1,2023,11242.0,1561,4246,81,0.139,swipe,Entertainment,806.74,0,38,Female,2,Post-Graduate,Married,California,yes,yes,no,Selfemployeed,55061,2,January
708226833,Gold,415,0,96,2023-01-01,Week-1,Q1,2023,34516.0,831,13247,107,0.024,swipe,Food,1192.23,0,50,Male,2,High School,Married,New York,no,no,no,Businessman,127461,3,January
708229308,Blue,245,1,72,2023-01-01,Week-1,Q1,2023,3243.0,0,6059,71,0.0,swipe,Fuel,727.08,0,37,Male,1,Uneducated,Single,New York,yes,no,no,Businessman,100839,2,January
708231183,Blue,460,0,92,2023-01-01,Week-1,Q1,2023,12539.0,910,2643,72,0.073,swipe,Grocery,290.73,0,39,Female,1,Uneducated,Single,California,no,no,no,Retirees,31127,2,January
708234558,Blue,200,0,88,2023-01-01,Week-1,Q1,2023,2239.0,1340,4540,73,0.598,chip,Entertainment,635.6,0,62,Male,0,High School,Single,Texas,no,yes,no,Selfemployeed,67827,3,January
708238833,Blue,365,1,61,2023-01-01,Week-1,Q1,2023,3032.0,2215,1387,30,0.731,swipe,Fuel,152.57,0,38,Female,2,High School,Married,New York,no,yes,no,Blue-Collar,12994,1,January
708241233,Blue,95,0,73,2023-01-01,Week-1,Q1,2023,2972.0,0,922,25,0.0,swipe,Bills,138.3,0,38,Female,1,Graduate,Married,California,no,yes,no,Selfemployeed,5225,1,January
708242283,Blue,295,1,59,2023-01-01,Week-1,Q1,2023,5346.0,0,3253,80,0.0,swipe,Food,325.3,0,44,Female,1,Unknown,Single,Texas,no,yes,yes,Govt,35755,3,January
708243483,Blue,250,0,119,2023-01-01,Week-1,Q1,2023,14938.0,1155,2248,51,0.077,swipe,Bills,427.12,0,60,Female,2,High School,Single,Texas,yes,no,no,Retirees,24156,2,January
708244458,Blue,405,1,91,2023-01-01,Week-1,Q1,2023,2793.0,1517,3485,72,0.543,swipe,Food,383.35,0,26,Male,0,Graduate,Single,New York,no,yes,no,White-Collar,37888,3,January
708245808,Gold,455,0,78,2023-01-01,Week-1,Q1,2023,19671.0,924,13908,124,0.047,swipe,Travel,2503.44,0,41,Male,0,High School,Unknown,Florida,yes,yes,no,Businessman,145701,1,January
708248358,Silver,200,1,67,2023-01-01,Week-1,Q1,2023,29937.0,0,14863,109,0.0,online,Bills,1932.19,0,61,Female,2,Graduate,Married,California,yes,no,no,Businessman,186885,1,January
708249708,Blue,300,1,92,2023-01-01,Week-1,Q1,2023,4844.0,1576,1489,48,0.325,swipe,Fuel,253.13,0,39,Female,2,Graduate,Single,California,yes,no,no,Selfemployeed,14975,1,January
708252108,Blue,475,1,162,2023-01-01,Week-1,Q1,2023,7362.0,1907,4065,65,0.259,chip,Fuel,243.9,0,50,Female,1,Graduate,Single,Florida,no,yes,no,Selfemployeed,49229,2,January
708253458,Blue,125,1,113,2023-01-01,Week-1,Q1,2023,5528.0,1823,4857,81,0.33,swipe,Food,1408.53,0,45,Male,2,Unknown,Married,California,no,yes,no,Govt,81622,2,January
708254733,Blue,325,1,73,2023-01-01,Week-1,Q1,2023,2968.0,1873,5171,85,0.631,swipe,Fuel,1241.04,0,56,Male,2,Graduate,Married,California,no,no,no,Blue-Collar,95152,2,January
708255633,Blue,200,0,110,2023-01-01,Week-1,Q1,2023,3761.0,1710,3240,65,0.455,swipe,Fuel,550.8,0,47,Female,3,Graduate,Single,Florida,yes,yes,no,Blue-Collar,35666,2,January
708260208,Blue,150,1,86,2023-01-01,Week-1,Q1,2023,2057.0,1279,4321,76,0.622,chip,Food,1123.46,0,48,Female,3,Graduate,Married,Texas,no,yes,no,White-Collar,57686,1,January
708266883,Blue,355,0,136,2023-01-01,Week-1,Q1,2023,1666.0,0,2312,35,0.0,swipe,Food,184.96,0,37,Female,2,Graduate,Married,Texas,no,yes,yes,Selfemployeed,25423,3,January
708267858,Blue,140,0,115,2023-01-01,Week-1,Q1,2023,6088.0,2145,2098,52,0.352,swipe,Entertainment,482.54,0,33,Female,4,High School,Single,New Jersey,no,no,no,Selfemployeed,21500,3,January
708269583,Blue,335,1,102,2023-01-01,Week-1,Q1,2023,2029.0,1377,4014,86,0.679,chip,Entertainment,1003.5,0,41,Female,1,High School,Single,New York,no,no,no,White-Collar,47653,3,January
708271833,Silver,195,1,63,2023-01-01,Week-1,Q1,2023,15069.0,1843,3464,67,0.122,online,Bills,831.36,0,48,Female,3,Graduate,Married,California,no,yes,yes,Govt,37680,3,January
708272808,Blue,150,0,76,2023-01-01,Week-1,Q1,2023,2718.0,1474,3542,59,0.542,chip,Fuel,566.72,0,41,Female,2,Unknown,Single,Florida,yes,yes,no,White-Collar,38560,2,January
708273858,Blue,355,1,112,2023-01-01,Week-1,Q1,2023,34516.0,0,3734,80,0.0,swipe,Fuel,522.76,0,39,Female,1,Graduate,Single,New York,no,no,no,White-Collar,41203,1,January
708276183,Blue,375,0,91,2023-01-01,Week-1,Q1,2023,1760.0,0,1554,35,0.0,swipe,Bills,279.72,0,54,Female,2,Graduate,Married,Texas,no,no,no,Selfemployeed,14975,2,January
708281433,Blue,335,0,81,2023-01-01,Week-1,Q1,2023,1438.3,0,3848,75,0.0,swipe,Food,269.36,0,40,Female,3,Uneducated,Single,New York,yes,no,no,Businessman,43626,1,January
708285108,Blue,420,1,80,2023-01-01,Week-1,Q1,2023,6128.0,2239,13505,116,0.365,swipe,Fuel,1620.6,1,44,Male,4,Unknown,Married,Texas,yes,no,no,White-Collar,131861,1,January
708286683,Blue,250,0,67,2023-01-01,Week-1,Q1,2023,12045.0,1749,4884,86,0.145,swipe,Bills,1123.32,1,38,Male,1,Graduate,Unknown,Florida,yes,no,no,White-Collar,83306,2,January
708288108,Blue,360,1,118,2023-01-01,Week-1,Q1,2023,5639.0,1547,647,15,0.274,swipe,Bills,135.87,1,29,Male,0,Graduate,Single,New Jersey,no,no,no,Selfemployeed,1250,3,January
708290208,Silver,355,1,109,2023-01-01,Week-1,Q1,2023,13608.0,1190,3118,76,0.087,chip,Entertainment,841.86,1,63,Female,2,Graduate,Single,New York,yes,no,no,White-Collar,34835,2,January
708291633,Blue,390,1,100,2023-01-01,Week-1,Q1,2023,4651.0,2499,5097,79,0.537,swipe,Entertainment,1223.28,1,54,Male,1,Unknown,Single,Florida,no,no,no,Businessman,92894,1,January
708292833,Blue,150,1,59,2023-01-01,Week-1,Q1,2023,27389.0,1250,2754,60,0.046,online,Bills,247.86,1,41,Female,2,Graduate,Married,California,yes,no,no,Govt,32170,3,January
708295533,Blue,250,0,106,2023-01-01,Week-1,Q1,2023,3549.0,1880,1215,22,0.53,swipe,Travel,230.85,1,55,Male,2,Unknown,Single,Florida,no,no,no,Blue-Collar,10119,2,January
708296883,Blue,280,0,93,2023-01-01,Week-1,Q1,2023,11749.0,788,1178,27,0.067,swipe,Travel,259.16,1,31,Female,1,Graduate,Single,California,no,yes,yes,Selfemployeed,8250,1,January
708298233,Blue,125,0,72,2023-01-01,Week-1,Q1,2023,6184.0,0,1756,49,0.0,swipe,Fuel,456.56,1,44,Female,4,High School,Married,New Jersey,no,no,no,Blue-Collar,15092,3,January
708300483,Blue,245,0,110,2023-01-01,Week-1,Q1,2023,7882.0,605,704,16,0.077,swipe,Travel,197.12,1,46,Female,4,Doctorate,Married,New York,no,yes,no,Selfemployeed,1250,1,January
708301683,Blue,125,0,89,2023-01-01,Week-1,Q1,2023,20798.0,1059,8038,90,0.051,swipe,Food,2009.5,0,40,Male,4,High School,Unknown,New York,no,yes,no,Govt,110415,2,January
708303108,Blue,175,0,88,2023-01-01,Week-1,Q1,2023,1770.0,1706,4940,94,0.964,swipe,Grocery,1037.4,0,36,Male,3,High School,Married,New Jersey,yes,yes,no,Govt,86574,1,January
708307533,Blue,345,0,89,2023-01-01,Week-1,Q1,2023,3086.0,0,4129,81,0.0,swipe,Food,371.61,0,37,Male,4,Post-Graduate,Married,New York,yes,no,no,Govt,51165,2,January
708313608,Blue,245,1,61,2023-01-01,Week-1,Q1,2023,2464.0,2116,2110,43,0.859,swipe,Food,274.3,0,59,Female,1,Graduate,Married,New Jersey,no,no,no,Blue-Collar,21659,3,January
708314808,Blue,100,1,111,2023-01-01,Week-1,Q1,2023,5659.0,1393,1570,40,0.246,swipe,Fuel,298.3,0,49,Female,3,Uneducated,Single,Texas,no,yes,no,Selfemployeed,14975,3,January
708316008,Blue,345,1,108,2023-01-01,Week-1,Q1,2023,10031.0,0,1792,29,0.0,swipe,Fuel,394.24,0,43,Female,5,Unknown,Single,California,no,no,no,Selfemployeed,15806,3,January
708319908,Blue,300,0,92,2023-01-01,Week-1,Q1,2023,4116.0,1473,8667,70,0.358,online,Travel,1820.07,0,56,Male,1,Graduate,Single,Texas,yes,yes,no,Govt,116230,3,January
708323208,Blue,290,1,118,2023-01-01,Week-1,Q1,2023,1522.0,0,2241,36,0.0,swipe,Food,403.38,0,45,Female,5,Doctorate,Married,Texas,no,no,yes,Businessman,24058,1,January
708324483,Blue,290,1,70,2023-01-01,Week-1,Q1,2023,1548.0,0,4420,71,0.0,chip,Bills,707.2,0,63,Male,0,Unknown,Unknown,California,no,no,yes,Selfemployeed,61485,2,January
708330858,Blue,250,1,133,2023-01-01,Week-1,Q1,2023,8249.0,1381,678,11,0.167,swipe,Travel,122.04,0,51,Female,2,Graduate,Married,Texas,no,no,no,Selfemployeed,1250,3,January
708331758,Silver,250,0,120,2023-01-01,Week-1,Q1,2023,32444.0,1843,3725,60,0.057,swipe,Fuel,409.75,0,42,Female,3,High School,Single,New York,no,no,yes,Businessman,41112,3,January
708332808,Blue,470,1,111,2023-01-01,Week-1,Q1,2023,3471.0,0,14381,115,0.0,swipe,Fuel,3163.82,0,49,Female,4,Uneducated,Married,Texas,no,no,no,Businessman,166923,2,January
708334158,Blue,200,0,98,2023-01-01,Week-1,Q1,2023,9863.0,686,3068,58,0.07,chip,Entertainment,306.8,0,51,Female,1,Uneducated,Single,New York,yes,yes,no,White-Collar,34512,2,January
708337683,Blue,465,1,98,2023-01-01,Week-1,Q1,2023,21800.0,893,3820,62,0.041,chip,Entertainment,573.0,0,27,Male,0,Graduate,Married,Michigan,no,no,yes,Selfemployeed,42779,1,January
708338958,Blue,200,1,54,2023-01-01,Week-1,Q1,2023,3173.0,1713,3797,75,0.54,chip,Bills,341.73,0,42,Male,2,High School,Unknown,Florida,no,no,no,Blue-Collar,42334,3,January
708340758,Blue,300,0,88,2023-01-01,Week-1,Q1,2023,7769.0,0,8109,74,0.0,chip,Grocery,1054.17,0,53,Male,3,Graduate,Single,New York,yes,no,no,Businessman,111220,2,January
708341958,Blue,175,1,75,2023-01-01,Week-1,Q1,2023,2061.0,1904,4480,86,0.924,swipe,Food,716.8,0,48,Male,4,Unknown,Married,Texas,no,yes,no,Blue-Collar,64665,1,January
708344358,Blue,125,1,81,2023-01-01,Week-1,Q1,2023,2495.0,1354,1311,31,0.543,swipe,Travel,249.09,0,44,Female,4,High School,Single,California,no,yes,yes,Selfemployeed,11638,2,January
708347583,Blue,465,1,42,2023-01-01,Week-1,Q1,2023,2509.0,1144,1804,38,0.456,swipe,Grocery,378.84,0,39,Female,0,Graduate,Married,California,no,yes,no,Blue-Collar,16112,2,January
708354858,Blue,200,0,58,2023-01-01,Week-1,Q1,2023,14938.0,0,8192,80,0.0,swipe,Bills,491.52,0,41,Male,2,Graduate,Married,California,no,no,no,Businessman,111730,1,January
708355683,Blue,285,0,46,2023-01-01,Week-1,Q1,2023,16815.0,0,2976,65,0.0,swipe,Fuel,624.96,0,46,Female,4,Unknown,Single,New Jersey,no,no,yes,Govt,34013,1,January
708357183,Blue,300,1,139,2023-01-01,Week-1,Q1,2023,1438.3,0,3511,64,0.0,chip,Fuel,702.2,0,38,Female,4,Doctorate,Married,California,no,no,no,Businessman,38164,2,January
708358683,Silver,100,0,92,2023-01-01,Week-1,Q1,2023,34516.0,1236,1665,40,0.036,swipe,Bills,449.55,0,56,Female,1,Graduate,Married,Texas,yes,no,no,Selfemployeed,14975,1,January
708360108,Blue,245,1,71,2023-01-01,Week-1,Q1,2023,2800.0,1338,4869,90,0.478,chip,Grocery,779.04,0,40,Male,2,Uneducated,Single,Texas,no,yes,yes,Govt,82412,2,January
708361833,Blue,460,0,76,2023-01-01,Week-1,Q1,2023,19430.0,0,3650,80,0.0,swipe,Fuel,511.0,0,55,Female,3,Graduate,Single,California,no,yes,yes,White-Collar,39861,2,January
708367908,Blue,190,0,87,2023-01-01,Week-1,Q1,2023,3022.0,1627,4390,82,0.538,chip,Bills,614.6,1,42,Male,4,Graduate,Single,Texas,no,no,no,Blue-Collar,60037,3,January
708369633,Gold,250,1,100,2023-01-01,Week-1,Q1,2023,15487.0,1847,7031,67,0.119,swipe,Bills,1054.65,1,47,Male,2,Uneducated,Married,New York,yes,no,no,Govt,101602,1,January
708371733,Blue,300,1,83,2023-01-01,Week-1,Q1,2023,4662.0,0,4931,81,0.0,swipe,Fuel,1084.82,1,50,Male,1,High School,Unknown,Texas,no,yes,no,Blue-Collar,86281,2,January
708373083,Blue,175,1,110,2023-01-01,Week-1,Q1,2023,3356.0,2517,2032,39,0.75,swipe,Fuel,467.36,1,41,Female,3,High School,Married,Texas,yes,no,no,Blue-Collar,20495,2,January
708375858,Blue,405,0,83,2023-01-01,Week-1,Q1,2023,2776.0,1341,4318,68,0.483,swipe,Grocery,302.26,1,45,Female,4,Post-Graduate,Single,California,no,no,no,Govt,57624,1,January
708376983,Blue,485,1,149,2023-01-01,Week-1,Q1,2023,8513.0,799,2119,37,0.094,swipe,Food,127.14,1,43,Female,4,Graduate,Unknown,Texas,no,yes,no,Govt,21828,3,January
